epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,232.942,0.47814,0.37069,0.39657,0.84349,1,0.99773,0.995,0.87507,1,0.99773,0.995,0.89188,0.5047,0.44858,0.35466,0.81483,0.0008714,0.0008714,0.0008714
59,236.904,0.45589,0.37038,0.38892,0.8351,0.99815,1,0.995,0.8807,0.99815,1,0.995,0.91544,0.50336,0.38079,0.36503,0.81609,0.0008516,0.0008516,0.0008516
60,240.84,0.47511,0.39425,0.39708,0.83998,0.99875,1,0.995,0.86423,0.99875,1,0.995,0.91102,0.47235,0.42505,0.36179,0.78456,0.0008318,0.0008318,0.0008318
61,244.775,0.48572,0.3889,0.40345,0.82984,0.99809,1,0.995,0.88797,0.99809,1,0.995,0.90105,0.45608,0.44381,0.38131,0.78404,0.000812,0.000812,0.000812
62,248.717,0.46847,0.37461,0.39532,0.83524,1,0.9987,0.995,0.87984,1,0.9987,0.995,0.90353,0.42735,0.47028,0.35362,0.78775,0.0007922,0.0007922,0.0007922
63,252.721,0.47983,0.36222,0.39744,0.83335,1,0.99815,0.995,0.89209,1,0.99815,0.995,0.90345,0.43042,0.49407,0.3191,0.79348,0.0007724,0.0007724,0.0007724
64,256.764,0.46088,0.34166,0.39195,0.83649,0.99766,1,0.995,0.87816,0.99766,1,0.995,0.90513,0.44603,0.44762,0.33506,0.78127,0.0007526,0.0007526,0.0007526
65,260.746,0.47121,0.3868,0.38564,0.85064,0.99809,1,0.995,0.88903,0.99809,1,0.995,0.91805,0.50522,0.44673,0.37737,0.78653,0.0007328,0.0007328,0.0007328
66,264.761,0.45838,0.35593,0.38271,0.83932,0.99623,0.9697,0.99412,0.91302,0.99623,0.9697,0.99412,0.93366,0.43754,0.44622,0.33782,0.76486,0.000713,0.000713,0.000713
67,268.853,0.46353,0.38172,0.37808,0.83164,0.99939,1,0.995,0.90644,0.99939,1,0.995,0.91231,0.43249,0.45327,0.33969,0.77912,0.0006932,0.0006932,0.0006932
68,272.836,0.42868,0.33729,0.3647,0.82409,0.99844,1,0.995,0.90701,0.99844,1,0.995,0.92289,0.39382,0.43167,0.3543,0.77626,0.0006734,0.0006734,0.0006734
69,276.802,0.42244,0.31574,0.35648,0.82556,0.99707,1,0.995,0.91227,0.99707,1,0.995,0.90089,0.42235,0.4092,0.34642,0.7883,0.0006536,0.0006536,0.0006536
70,280.683,0.41082,0.30221,0.34633,0.83146,0.9971,1,0.995,0.89416,0.9971,1,0.995,0.90983,0.43265,0.44488,0.33787,0.7731,0.0006338,0.0006338,0.0006338
71,284.663,0.42391,0.33291,0.34813,0.8278,0.99774,1,0.995,0.90497,0.99774,1,0.995,0.91205,0.36469,0.41871,0.31411,0.76751,0.000614,0.000614,0.000614
72,288.637,0.41168,0.33757,0.34512,0.83268,0.99823,1,0.995,0.90128,0.99823,1,0.995,0.92195,0.41371,0.42045,0.34461,0.76894,0.0005942,0.0005942,0.0005942
73,292.616,0.42613,0.34758,0.36213,0.81855,0.99884,1,0.995,0.91146,0.99884,1,0.995,0.94124,0.40801,0.4254,0.34414,0.77269,0.0005744,0.0005744,0.0005744
74,296.618,0.41274,0.35317,0.35241,0.82424,1,0.99747,0.995,0.90315,1,0.99747,0.995,0.89014,0.41033,0.42966,0.33449,0.77542,0.0005546,0.0005546,0.0005546
75,300.589,0.41055,0.31762,0.34701,0.82225,1,0.96788,0.99412,0.91218,1,0.96788,0.99412,0.91988,0.39437,0.4473,0.32134,0.76469,0.0005348,0.0005348,0.0005348
76,304.553,0.41849,0.36241,0.35148,0.82617,0.99806,1,0.995,0.90383,0.99806,1,0.995,0.92433,0.43502,0.41133,0.30187,0.77186,0.000515,0.000515,0.000515
77,308.513,0.39629,0.34061,0.34108,0.8477,0.99824,1,0.995,0.92282,0.99824,1,0.995,0.92936,0.41446,0.40676,0.30736,0.77007,0.0004952,0.0004952,0.0004952
78,312.522,0.40879,0.34845,0.33815,0.81533,0.99815,1,0.995,0.9192,0.99815,1,0.995,0.90892,0.39244,0.40089,0.31307,0.76593,0.0004754,0.0004754,0.0004754
79,316.543,0.40332,0.29411,0.35176,0.84048,0.99818,1,0.995,0.92639,0.99818,1,0.995,0.8974,0.36433,0.40298,0.29908,0.76072,0.0004556,0.0004556,0.0004556
