epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,923.508,0.52783,0.31209,0.40702,0.97735,0.80708,0.90909,0.93223,0.6508,0.80708,0.90909,0.93223,0.7176,0.92437,0.46593,0.70203,1.50116,0.0008318,0.0008318,0.0008318
61,937.884,0.54289,0.35477,0.41364,0.97628,0.77379,0.93306,0.91394,0.65997,0.77379,0.93306,0.91394,0.72891,0.97933,0.43685,0.69694,1.52033,0.000812,0.000812,0.000812
62,952.383,0.53965,0.30803,0.40276,0.98979,0.76941,0.93939,0.89709,0.64896,0.76941,0.93939,0.89709,0.69226,0.91949,0.42419,0.75739,1.41251,0.0007922,0.0007922,0.0007922
63,966.503,0.53736,0.31494,0.41288,0.9687,0.93616,0.90909,0.9607,0.63036,0.93616,0.90909,0.9607,0.67283,0.92521,0.44565,0.70199,1.45095,0.0007724,0.0007724,0.0007724
64,981.283,0.56979,0.304,0.42726,0.9999,0.81183,0.90909,0.91878,0.63734,0.81183,0.90909,0.91878,0.71615,1.01968,0.42263,0.71409,1.44982,0.0007526,0.0007526,0.0007526
65,996.777,0.55423,0.34136,0.43312,1.00892,0.75492,0.93939,0.88171,0.64196,0.75492,0.93939,0.88171,0.66804,0.97232,0.45728,0.72688,1.42366,0.0007328,0.0007328,0.0007328
66,1011.9,0.54453,0.31656,0.41395,0.96052,0.78904,0.93939,0.9337,0.65808,0.78904,0.93939,0.9337,0.71853,0.89935,0.50861,0.72816,1.4614,0.000713,0.000713,0.000713
67,1025.73,0.49942,0.34294,0.38522,0.95,0.74723,0.66667,0.79251,0.56229,0.74723,0.66667,0.79251,0.57387,1.22928,0.51643,2.06195,1.66846,0.0006932,0.0006932,0.0006932
68,1040.77,0.48191,0.28853,0.38979,0.98563,0.75493,0.90909,0.9172,0.62088,0.75493,0.90909,0.9172,0.63504,0.94556,0.59153,0.72685,1.48092,0.0006734,0.0006734,0.0006734
69,1054.58,0.47105,0.2692,0.36504,0.9515,0.83725,0.93546,0.91908,0.66465,0.83725,0.93546,0.91908,0.67291,0.97241,0.60452,0.75898,1.48471,0.0006536,0.0006536,0.0006536
70,1068.76,0.47518,0.26994,0.38367,0.96263,0.75476,0.93939,0.89036,0.62163,0.75476,0.93939,0.89036,0.63799,0.9798,0.56414,0.81798,1.45158,0.0006338,0.0006338,0.0006338
71,1082.9,0.46551,0.30086,0.35476,0.93389,0.74187,0.9697,0.91663,0.60781,0.74187,0.9697,0.91663,0.63943,0.9595,0.42519,0.76615,1.47697,0.000614,0.000614,0.000614
72,1096.81,0.49018,0.28837,0.37974,0.97869,0.87532,0.85106,0.95166,0.62651,0.87532,0.85106,0.95166,0.68547,0.93366,0.415,0.74998,1.41795,0.0005942,0.0005942,0.0005942
73,1110.68,0.46803,0.33023,0.35557,0.95511,0.83985,0.87879,0.95186,0.66116,0.83985,0.87879,0.95186,0.71639,0.94003,0.38593,0.73959,1.39833,0.0005744,0.0005744,0.0005744
74,1125.08,0.46852,0.31041,0.36245,0.95195,0.81227,0.918,0.95464,0.67302,0.81227,0.918,0.95464,0.70464,0.88856,0.38012,0.75158,1.38009,0.0005546,0.0005546,0.0005546
75,1139.48,0.43969,0.27292,0.3502,0.94218,0.78003,0.9697,0.94996,0.68593,0.78003,0.9697,0.94996,0.72881,0.83626,0.4075,0.70062,1.43132,0.0005348,0.0005348,0.0005348
76,1153.54,0.45971,0.30285,0.35341,0.94992,0.78056,1,0.93359,0.69933,0.78056,1,0.93359,0.77447,0.81407,0.38476,0.68351,1.31444,0.000515,0.000515,0.000515
77,1166.61,0.44245,0.30699,0.34989,0.94653,0.79385,1,0.93231,0.70561,0.79385,1,0.93231,0.74603,0.82761,0.41623,0.62434,1.34599,0.0004952,0.0004952,0.0004952
78,1178.66,0.45924,0.28941,0.34667,0.93092,0.82508,0.90909,0.96686,0.72389,0.82508,0.90909,0.96686,0.77014,0.82736,0.47489,0.65112,1.33289,0.0004754,0.0004754,0.0004754
79,1191.1,0.45118,0.24136,0.34724,0.95677,0.79479,0.9697,0.96144,0.72919,0.79479,0.9697,0.96144,0.75245,0.82855,0.4591,0.59846,1.29739,0.0004556,0.0004556,0.0004556
80,1203.05,0.44298,0.29744,0.35081,0.94302,0.95957,0.9697,0.98652,0.73734,0.95957,0.9697,0.98652,0.80025,0.71876,0.38463,0.5459,1.26276,0.0004358,0.0004358,0.0004358
81,1215.47,0.43511,0.32218,0.33875,0.91373,0.96813,0.9697,0.99176,0.74416,0.96813,0.9697,0.99176,0.79094,0.76363,0.38711,0.52527,1.27842,0.000416,0.000416,0.000416
82,1227.87,0.42449,0.26841,0.33371,0.94605,0.96862,0.93555,0.98617,0.75002,0.96862,0.93555,0.98617,0.78504,0.90241,0.38916,0.53644,1.39361,0.0003962,0.0003962,0.0003962
83,1240.37,0.44189,0.26238,0.3393,0.93258,0.88606,0.9427,0.98136,0.7529,0.88606,0.9427,0.98136,0.8102,0.83762,0.40173,0.62985,1.26141,0.0003764,0.0003764,0.0003764
84,1252.73,0.48548,0.26909,0.35606,0.97606,0.96755,0.90354,0.97766,0.72303,0.96755,0.90354,0.97766,0.78855,0.75977,0.41583,0.59536,1.28236,0.0003566,0.0003566,0.0003566
85,1265.13,0.39777,0.25431,0.32005,0.92779,0.96749,0.90213,0.97943,0.75011,0.96749,0.90213,0.97943,0.79643,0.77913,0.40522,0.63786,1.25271,0.0003368,0.0003368,0.0003368
86,1278.09,0.45284,0.25447,0.33978,0.92592,0.98806,0.93939,0.98884,0.74846,0.98806,0.93939,0.98884,0.78434,0.93266,0.4217,0.60963,1.41994,0.000317,0.000317,0.000317
87,1291.04,0.40946,0.27199,0.30783,0.88797,0.94151,0.87879,0.98509,0.7432,0.94151,0.87879,0.98509,0.76726,0.77077,0.42232,0.56628,1.25881,0.0002972,0.0002972,0.0002972
88,1304.04,0.4418,0.29958,0.34043,0.93571,0.96561,0.93939,0.98476,0.71443,0.96561,0.93939,0.98476,0.79189,0.82393,0.41187,0.54729,1.36125,0.0002774,0.0002774,0.0002774
89,1317.06,0.38348,0.24949,0.31725,0.94386,0.81736,0.94944,0.96576,0.7343,0.81736,0.94944,0.96576,0.78299,0.7453,0.37702,0.58305,1.22142,0.0002576,0.0002576,0.0002576
90,1329.24,0.37479,0.27409,0.29677,0.90718,0.93958,0.93939,0.97788,0.73499,0.93958,0.93939,0.97788,0.78348,0.69828,0.37111,0.52512,1.23135,0.0002378,0.0002378,0.0002378
91,1373.72,0.41518,0.25648,0.31328,0.9084,0.91943,0.93939,0.98236,0.73792,0.91943,0.93939,0.98236,0.78725,0.68415,0.38364,0.53757,1.21571,0.000218,0.000218,0.000218
92,1386.21,0.40706,0.24377,0.31626,0.92722,0.84144,0.93939,0.96493,0.72951,0.84144,0.93939,0.96493,0.78242,0.74359,0.39335,0.53776,1.25964,0.0001982,0.0001982,0.0001982
93,1414.96,0.40684,0.25197,0.30285,0.93239,0.78254,1,0.95627,0.74146,0.78254,1,0.95627,0.78611,0.76722,0.39876,0.54554,1.27533,0.0001784,0.0001784,0.0001784
94,1426.8,0.43489,0.2485,0.31428,0.91926,0.79954,1,0.95722,0.74554,0.79954,1,0.95722,0.79442,0.73605,0.40252,0.55818,1.24337,0.0001586,0.0001586,0.0001586
95,1438.69,0.40255,0.23948,0.30441,0.92867,0.81916,0.96104,0.96155,0.74822,0.81916,0.96104,0.96155,0.79339,0.77167,0.39049,0.54333,1.3133,0.0001388,0.0001388,0.0001388
96,1450.54,0.39393,0.25338,0.29597,0.92743,0.78473,0.99428,0.9627,0.73941,0.78473,0.99428,0.9627,0.77343,0.75063,0.3829,0.5545,1.31411,0.000119,0.000119,0.000119
97,1462.92,0.40268,0.24348,0.29822,0.90287,0.78473,1,0.96796,0.74339,0.78473,1,0.96796,0.78486,0.67801,0.37257,0.5476,1.23464,9.92e-05,9.92e-05,9.92e-05
98,1474.78,0.40759,0.22176,0.29727,0.8974,0.78183,1,0.95758,0.74874,0.78183,1,0.95758,0.80342,0.66975,0.37146,0.57663,1.19141,7.94e-05,7.94e-05,7.94e-05
99,1486.54,0.40437,0.24213,0.29206,0.93518,0.78244,1,0.96229,0.74863,0.78244,1,0.96229,0.81042,0.70098,0.37072,0.54107,1.21817,5.96e-05,5.96e-05,5.96e-05
100,1498.38,0.41356,0.23658,0.30471,0.91922,0.82909,0.88207,0.96897,0.7597,0.82909,0.88207,0.96897,0.81871,0.73156,0.37233,0.53128,1.24945,3.98e-05,3.98e-05,3.98e-05
