epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,1341.52,0.4777,0.34243,0.37574,0.84895,0.96875,0.93936,0.98488,0.86503,0.96875,0.93936,0.98488,0.8655,0.51994,0.72137,0.57185,0.8152,0.0009902,0.0009902,0.0009902
53,1347.84,0.45457,0.36589,0.38301,0.84744,0.99872,0.90909,0.98524,0.85726,0.99872,0.90909,0.98524,0.81584,0.49934,1.11288,0.48907,0.83231,0.0009704,0.0009704,0.0009704
54,1354.67,0.45857,0.31354,0.3669,0.83641,0.96873,1,0.99324,0.90046,0.96873,1,0.99324,0.84783,0.45318,0.84445,0.40908,0.80984,0.0009506,0.0009506,0.0009506
55,1361.83,0.44805,0.33399,0.37622,0.824,1,0.9657,0.99329,0.88683,1,0.9657,0.99329,0.88093,0.43624,0.53525,0.38442,0.81378,0.0009308,0.0009308,0.0009308
56,1381.39,0.45963,0.32254,0.36883,0.8337,1,0.96556,0.99412,0.89548,1,0.96556,0.99412,0.89669,0.40975,0.48213,0.36792,0.80534,0.000911,0.000911,0.000911
57,1406.34,0.43772,0.34608,0.36328,0.84005,1,0.99803,0.995,0.90189,1,0.99803,0.995,0.89571,0.43341,0.5899,0.37657,0.79944,0.0008912,0.0008912,0.0008912
58,1429.92,0.43623,0.30761,0.37323,0.8395,1,0.96584,0.99329,0.88427,1,0.96584,0.99329,0.89069,0.41815,0.60227,0.34626,0.79227,0.0008714,0.0008714,0.0008714
59,1454.62,0.41611,0.33883,0.34477,0.83226,0.9475,0.90909,0.98432,0.8895,0.9475,0.90909,0.98432,0.89258,0.39679,0.46966,0.36366,0.79388,0.0008516,0.0008516,0.0008516
60,1490.7,0.43848,0.32839,0.36984,0.83695,0.99262,0.93939,0.98824,0.86933,0.99262,0.93939,0.98824,0.83493,0.44575,0.68004,0.36949,0.80603,0.0008318,0.0008318,0.0008318
61,1526.1,0.45246,0.34063,0.3711,0.8413,1,0.93583,0.99085,0.9045,1,0.93583,0.99085,0.89448,0.44626,0.55924,0.39208,0.80856,0.000812,0.000812,0.000812
62,1551.92,0.42603,0.30032,0.35143,0.84476,1,0.93812,0.99074,0.88869,1,0.93812,0.99074,0.90964,0.44032,0.52342,0.36904,0.79988,0.0007922,0.0007922,0.0007922
63,1578.63,0.41809,0.31628,0.34389,0.82346,0.96969,0.96945,0.99235,0.9029,0.96969,0.96945,0.99235,0.91894,0.39566,0.53953,0.35474,0.79188,0.0007724,0.0007724,0.0007724
64,1604.51,0.41557,0.29162,0.35719,0.841,1,0.96883,0.99412,0.92313,1,0.96883,0.99412,0.9269,0.39805,0.53664,0.35307,0.78537,0.0007526,0.0007526,0.0007526
65,1627.85,0.40736,0.32234,0.34365,0.84341,1,0.99926,0.995,0.91491,1,0.99926,0.995,0.92298,0.42578,0.49037,0.36353,0.7853,0.0007328,0.0007328,0.0007328
66,1659.4,0.41499,0.30862,0.34637,0.82906,0.97052,0.99777,0.99412,0.90461,0.97052,0.99777,0.99412,0.88938,0.4173,0.51805,0.37647,0.79132,0.000713,0.000713,0.000713
