epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,72.3401,0.69599,0.48741,0.84486,0.85127,0.99391,1,0.995,0.8374,0.99391,1,0.995,0.80931,0.77845,0.65137,0.74363,0.77826,0.0010496,0.0010496,0.0010496
50,73.6365,0.62518,0.40896,0.81993,0.85653,0.99413,1,0.995,0.86489,0.99413,1,0.995,0.87819,0.64399,0.62345,0.72199,0.76145,0.0010298,0.0010298,0.0010298
51,74.98,0.68748,0.63704,0.93674,0.84902,0.99431,1,0.995,0.84908,0.99431,1,0.995,0.87512,0.68066,0.56566,0.71665,0.7764,0.00101,0.00101,0.00101
52,76.2831,0.61101,0.43799,0.75829,0.82393,0.99427,1,0.995,0.82395,0.99427,1,0.995,0.81687,0.70251,0.51937,0.70665,0.78603,0.0009902,0.0009902,0.0009902
53,77.6108,0.63134,0.44137,0.75265,0.84399,0.99379,1,0.995,0.83826,0.99379,1,0.995,0.89487,0.71152,0.48774,0.67458,0.78075,0.0009704,0.0009704,0.0009704
54,78.8706,0.66356,0.49144,0.77809,0.85258,0.99379,1,0.995,0.83826,0.99379,1,0.995,0.89487,0.71152,0.48774,0.67458,0.78075,0.0009506,0.0009506,0.0009506
55,80.1805,0.61488,0.67075,0.78501,0.85863,0.99396,1,0.995,0.82056,0.99396,1,0.995,0.88794,0.71521,0.50756,0.67088,0.77301,0.0009308,0.0009308,0.0009308
56,81.4685,0.65302,0.6712,0.74133,0.8921,0.99443,1,0.995,0.85107,0.99443,1,0.995,0.90319,0.68875,0.51689,0.64584,0.76612,0.000911,0.000911,0.000911
57,82.7913,0.62349,0.5381,0.78055,0.85279,0.99441,1,0.995,0.86216,0.99441,1,0.995,0.85259,0.64014,0.5194,0.64421,0.75807,0.0008912,0.0008912,0.0008912
58,84.1057,0.61589,0.41276,0.76316,0.83988,0.99486,1,0.995,0.8364,0.99486,1,0.995,0.81894,0.64886,0.52518,0.65973,0.76133,0.0008714,0.0008714,0.0008714
59,85.3947,0.64379,0.45413,0.76198,0.87008,0.99556,1,0.995,0.88299,0.99556,1,0.995,0.85093,0.62573,0.53346,0.63857,0.76105,0.0008516,0.0008516,0.0008516
60,86.6795,0.55943,0.43755,0.69364,0.83578,0.9957,1,0.995,0.86175,0.9957,1,0.995,0.84136,0.61356,0.54305,0.59506,0.75931,0.0008318,0.0008318,0.0008318
61,87.9651,0.5683,0.45843,0.74923,0.83264,0.9955,1,0.995,0.86338,0.9955,1,0.995,0.8727,0.62357,0.55112,0.57568,0.75974,0.000812,0.000812,0.000812
62,89.2287,0.54562,0.4225,0.6868,0.84256,0.9955,1,0.995,0.86338,0.9955,1,0.995,0.8727,0.62357,0.55112,0.57568,0.75974,0.0007922,0.0007922,0.0007922
63,90.4937,0.58972,0.43315,0.68715,0.82954,0.99533,1,0.995,0.84878,0.99533,1,0.995,0.88361,0.62795,0.57039,0.59251,0.75862,0.0007724,0.0007724,0.0007724
64,91.821,0.53756,0.42826,0.66884,0.80627,0.99517,1,0.995,0.86695,0.99517,1,0.995,0.86172,0.59141,0.58212,0.59307,0.75402,0.0007526,0.0007526,0.0007526
65,93.1217,0.59148,0.48603,0.72374,0.82973,0.99523,1,0.995,0.86282,0.99523,1,0.995,0.85176,0.59666,0.58966,0.59931,0.75882,0.0007328,0.0007328,0.0007328
66,94.4477,0.58798,0.42709,0.68953,0.83188,0.99516,1,0.995,0.86256,0.99516,1,0.995,0.85316,0.63917,0.61695,0.60287,0.76564,0.000713,0.000713,0.000713
67,95.7567,0.59401,0.41262,0.70104,0.84274,0.99465,1,0.995,0.86003,0.99465,1,0.995,0.8043,0.63189,0.63539,0.59477,0.76229,0.0006932,0.0006932,0.0006932
68,97.0615,0.55258,0.47927,0.6305,0.84327,0.99425,1,0.995,0.85458,0.99425,1,0.995,0.86071,0.64288,0.64182,0.57735,0.75739,0.0006734,0.0006734,0.0006734
69,98.4024,0.55239,0.44836,0.63259,0.85333,0.99427,1,0.995,0.83785,0.99427,1,0.995,0.83314,0.63341,0.63068,0.56128,0.75863,0.0006536,0.0006536,0.0006536
70,99.6111,0.51532,0.50548,0.68346,0.83982,0.99427,1,0.995,0.83785,0.99427,1,0.995,0.83314,0.63341,0.63068,0.56128,0.75863,0.0006338,0.0006338,0.0006338
71,100.901,0.49989,0.41314,0.64779,0.83802,0.99418,1,0.995,0.88609,0.99418,1,0.995,0.85594,0.60365,0.6105,0.56957,0.75869,0.000614,0.000614,0.000614
72,102.217,0.52857,0.37615,0.65663,0.88347,0.9943,1,0.995,0.85931,0.9943,1,0.995,0.80899,0.60158,0.60826,0.58533,0.75681,0.0005942,0.0005942,0.0005942
73,103.498,0.51872,0.35001,0.64026,0.82966,0.99486,1,0.995,0.87565,0.99486,1,0.995,0.86694,0.61616,0.61454,0.55438,0.75909,0.0005744,0.0005744,0.0005744
74,104.823,0.48621,0.38387,0.61096,0.83667,0.99509,1,0.995,0.87662,0.99509,1,0.995,0.86694,0.63699,0.61689,0.54391,0.76544,0.0005546,0.0005546,0.0005546
75,106.192,0.49593,0.40883,0.58947,0.81132,0.99517,1,0.995,0.85399,0.99517,1,0.995,0.85811,0.63424,0.61597,0.5524,0.76826,0.0005348,0.0005348,0.0005348
76,107.643,0.56601,0.46451,0.63613,0.82459,0.99517,1,0.995,0.8651,0.99517,1,0.995,0.87653,0.65253,0.613,0.55771,0.76736,0.000515,0.000515,0.000515
77,109.023,0.51807,0.46657,0.63427,0.84469,0.99514,1,0.995,0.85509,0.99514,1,0.995,0.86688,0.6615,0.60801,0.58041,0.76305,0.0004952,0.0004952,0.0004952
78,110.392,0.48363,0.42341,0.60304,0.83382,0.99514,1,0.995,0.85509,0.99514,1,0.995,0.86688,0.6615,0.60801,0.58041,0.76305,0.0004754,0.0004754,0.0004754
79,111.818,0.49515,0.46042,0.61701,0.86092,0.99498,1,0.995,0.86383,0.99498,1,0.995,0.88466,0.67972,0.59671,0.61087,0.75672,0.0004556,0.0004556,0.0004556
80,113.209,0.48552,0.48154,0.63696,0.81361,0.99485,1,0.995,0.87506,0.99485,1,0.995,0.88466,0.70195,0.59859,0.59258,0.76099,0.0004358,0.0004358,0.0004358
81,114.624,0.45966,0.38547,0.55162,0.83924,0.99483,1,0.995,0.86758,0.99483,1,0.995,0.88472,0.67119,0.59616,0.5618,0.76052,0.000416,0.000416,0.000416
82,116.104,0.45268,0.44669,0.58437,0.8513,0.99497,1,0.995,0.84678,0.99497,1,0.995,0.88475,0.5977,0.59796,0.53932,0.75254,0.0003962,0.0003962,0.0003962
83,117.41,0.4967,0.40785,0.56989,0.81294,0.99491,1,0.995,0.85676,0.99491,1,0.995,0.88468,0.60592,0.59899,0.53681,0.75478,0.0003764,0.0003764,0.0003764
